"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"3546",434378,"Justin Verlander","3546","100.00","0.221","0.148","0.272","0.370","0.291","0.309","0.232","170","768","81.3","22.8","2550","91.0","90.09","410","1735","1787","-0.9","5.81","109","154","114","147","298","327","294"
"3428",519242,"Chris Sale","3428","100.00","0.208","0.141","0.303","0.349","0.264","0.248","0.189","165","794","79.7","18.9","2281","88.2","87.06","544","1712","1703","-1.1","5.82","109","150","112","147","288","325","287"
"3406",502042,"Chris Archer","3406","100.00","0.246","0.161","0.325","0.407","0.311","0.292","0.228","193","784","82.5","19.5","2325","91.8","90.91","495","1624","1769","-0.9","5.79","115","151","114","146","299","326","297"
"3384",519144,"Rick Porcello","3384","100.00","0.286","0.211","0.324","0.498","0.354","0.330","0.262","236","824","81.9","18.3","2416","86.7","86.20","354","1670","1699","-0.5","6.02","112","152","114","147","281","325","291"
"3379",461829,"Gio Gonzalez","3379","100.00","0.216","0.129","0.261","0.345","0.286","0.293","0.222","158","731","80.8","16.2","2231","84.8","84.29","314","1407","1933","-0.5","6.09","108","150","112","147","296","309","290"
"3357",592332,"Kevin Gausman","3357","100.00","0.283","0.177","0.337","0.459","0.352","0.335","0.262","208","736","81.9","17.1","2115","91.1","90.52","403","1553","1792","-0.6","6.10","107","154","116","147","302","324","297"
"3300",543037,"Gerrit Cole","3300","100.00","0.254","0.180","0.301","0.434","0.320","0.310","0.251","199","784","80.9","15.3","2200","91.9","91.53","333","1526","1755","-0.4","6.13","111","150","112","149","300","319","296"
"3277",502188,"Jeff Samardzija","3277","100.00","0.255","0.192","0.305","0.447","0.314","0.294","0.240","204","801","81.9","16.5","2382","90.2","89.61","361","1596","1658","-0.6","5.95","112","149","109","148","290","315","298"
"3246",462136,"Marco Estrada","3246","100.00","0.256","0.207","0.295","0.463","0.338","0.299","0.222","186","726","80.0","25.5","2333","84.7","82.80","386","1591","1643","-1.9","5.27","109","152","112","148","295","323","295"
"3240",429722,"Ervin Santana","3240","100.00","0.225","0.167","0.247","0.392","0.295","0.292","0.225","177","786","81.5","17.9","2180","89.0","88.44","364","1561","1658","-0.6","5.96","107","148","111","148","291","314","290"
"3232",543699,"Tanner Roark","3232","100.00","0.254","0.154","0.302","0.408","0.320","0.313","0.250","178","701","81.5","15.2","2164","87.8","86.99","347","1471","1726","-0.8","5.93","109","151","113","149","292","309","292"
"3189",500779,"Jose Quintana","3189","100.00","0.238","0.158","0.301","0.396","0.308","0.303","0.235","170","715","81.1","18.4","2010","87.3","87.57","296","1388","1771","0.3","6.41","109","151","108","146","297","314","292"
"3185",594798,"Jacob deGrom","3185","100.00","0.237","0.152","0.306","0.389","0.298","0.272","0.213","180","758","80.2","14.7","2316","91.5","92.91","461","1563","1586","1.4","7.00","114","150","112","147","288","308","294"
"3169",458681,"Lance Lynn","3169","100.00","0.223","0.172","0.248","0.395","0.309","0.310","0.227","151","676","80.2","16.9","2292","90.4","89.60","319","1399","1723","-0.8","5.77","112","148","109","147","291","318","298"
"3163",425844,"Zack Greinke","3163","100.00","0.230","0.158","0.287","0.387","0.286","0.281","0.218","172","749","81.9","13.7","2360","86.3","85.53","422","1451","1701","-0.8","5.73","112","154","114","150","302","325","301"
"3148",545333,"Trevor Bauer","3148","100.00","0.266","0.179","0.338","0.446","0.337","0.316","0.248","181","680","82.4","14.2","2341","87.8","87.11","315","1321","1816","-0.7","5.91","107","151","111","149","286","314","292"
"3144",573186,"Marcus Stroman","3144","100.00","0.264","0.129","0.310","0.392","0.316","0.313","0.258","201","762","83.6","3.4","2362","90.5","89.38","329","1397","1735","-1.1","5.61","109","151","111","148","295","321","294"
"3141",593372,"Carlos Martinez","3141","100.00","0.232","0.159","0.287","0.391","0.304","0.284","0.219","179","772","81.5","12.7","2065","91.4","89.81","358","1451","1657","-1.6","5.33","113","147","108","147","291","317","297"
"3140",452657,"Jon Lester","3140","100.00","0.259","0.171","0.313","0.430","0.326","0.301","0.237","179","691","81.6","14.9","2220","87.6","87.57","356","1408","1705","0.0","6.25","111","151","106","149","296","316","294"
"3116",453286,"Max Scherzer","3116","100.00","0.178","0.141","0.248","0.319","0.250","0.242","0.175","126","709","79.2","21.1","2335","89.0","88.42","520","1594","1481","-0.6","6.03","111","152","113","149","293","309","292"
"3109",571578,"Patrick Corbin","3109","100.00","0.276","0.185","0.329","0.461","0.341","0.314","0.254","208","753","82.3","9.9","2259","87.2","87.29","368","1436","1631","0.1","6.33","107","152","112","147","302","323","298"
"3103",527048,"Martin Perez","3103","100.00","0.301","0.152","0.330","0.453","0.355","0.352","0.290","221","735","82.4","12.9","2074","88.9","88.17","249","1387","1701","-0.7","5.83","104","149","110","146","297","324","293"
"3101",445060,"Ricky Nolasco","3101","100.00","0.286","0.222","0.314","0.508","0.362","0.358","0.284","205","716","84.8","15.5","2065","85.1","83.70","357","1411","1669","-1.4","5.42","112","152","108","149","300","322","299"
"3099",573185,"Dan Straily","3099","100.00","0.256","0.210","0.294","0.466","0.333","0.302","0.230","176","687","80.0","22.1","2139","86.8","86.37","406","1524","1541","-0.4","6.17","109","151","108","149","294","322","298"
"3098",605200,"Zach Davies","3098","100.00","0.275","0.148","0.306","0.424","0.328","0.328","0.277","204","741","81.4","8.9","2159","85.4","84.84","239","1325","1738","-0.6","6.02","108","154","113","150","303","311","288"
"3083",527054,"Julio Teheran","3083","100.00","0.257","0.185","0.285","0.443","0.334","0.320","0.247","186","723","81.5","16.5","2260","87.3","87.33","311","1434","1623","0.0","6.22","109","148","110","149","297","315","287"
"3082",622663,"Luis Severino","3082","100.00","0.208","0.129","0.274","0.338","0.266","0.267","0.209","150","720","81.5","14.2","2322","92.9","92.46","425","1511","1562","-0.4","6.11","109","152","115","146","295","321","289"
"3080",519141,"Drew Pomeranz","3080","100.00","0.252","0.137","0.311","0.388","0.314","0.313","0.242","166","659","81.7","17.2","2288","86.5","84.34","330","1365","1703","-2.2","5.08","109","149","114","146","285","325","288"
